ID,Address,Rooms,Type,Price,Date,Bathroom,Car,Landsize,Age,Lattitude,Longtitude
ID253199063,8 Kinnane Cr,3,h,830500.0,8/07/2017,1.0,2.0,508.0,69.0,-37.7807,144.83648
ID764854482,9 Banks Pl,3,h,742000.0,26/08/2017,2.0,2.0,375.0,44.0,-37.68415,144.8999
ID765581220,112 Belmore Rd,5,h,3020000.0,28/05/2016,3.0,2.0,715.0,10.0,-37.8028,145.0768
ID364066284,12 Rasmussen Ct,4,h,922000.0,1/07/2017,2.0,2.0,463.0,59.0,-37.73704,144.97959
ID879430645,29 Alfred St,2,h,825000.0,14/05/2016,1.0,0.0,111.0,109.0,-37.835,144.9373
ID911049979,4/31 Cooper St,2,u,707000.0,22/04/2017,1.0,1.0,179.0,5.0,-37.7514,144.8966
ID873374349,35 Dixon St,3,h,2050000.0,4/06/2016,2.0,1.0,231.0,129.0,-37.8607,145.0373
ID552311046,4 Erica St,2,h,1350000.0,27/11/2016,1.0,2.0,181.0,49.0,-37.8549,145.0006
ID882525140,2/102 Bent St,3,t,870000.0,23/04/2016,2.0,2.0,156.0,19.0,-37.7631,144.9357
ID495604577,4 Robinson Gr,5,h,1730000.0,13/05/2017,4.0,4.0,564.0,64.0,-37.7735,145.0936
ID777822828,44 Moorna Dr,4,t,950000.0,12/08/2017,2.0,1.0,255.0,139.0,-37.72572,144.86848
ID450037385,21a Edgar St,3,u,465000.0,4/06/2016,1.0,1.0,225.0,14.0,-37.7068,144.9467
ID626841302,10 Matthews St,3,h,960000.0,15/07/2017,2.0,2.0,655.0,34.0,-37.79352,144.84318000000005
ID624139031,2 Hazel Gr,2,h,915000.0,10/12/2016,1.0,3.0,629.0,44.0,-37.7312,144.9399
ID430390244,28 Wanda Rd,4,h,2830000.0,15/10/2016,2.0,2.0,723.0,109.0,-37.8672,145.0225
ID626452282,3/46 Tibrockney St,2,h,548000.0,17/06/2017,1.0,1.0,0.0,49.0,-37.95037,145.03473
ID154187827,40 Borva Dr,3,h,601200.0,27/06/2016,1.0,1.0,554.0,59.0,-37.7303,144.8636
ID349316169,2/52 Walter St,3,u,500000.0,17/06/2017,1.0,1.0,388.0,27.0,-37.731629999999996,144.80697
ID628404573,353 Waterdale Rd,2,h,855000.0,18/03/2017,1.0,0.0,693.0,59.0,-37.7534,145.0454
ID597744621,124 Carrick Dr,3,h,645000.0,22/07/2017,1.0,1.0,556.0,59.0,-37.695840000000004,144.89379
ID927658476,506/220 Commercial Rd,3,u,1400000.0,4/06/2016,2.0,2.0,0.0,99.0,-37.847,144.9936
ID309627513,54 Princes St,3,h,917000.0,29/04/2017,1.0,0.0,143.0,129.0,-37.7868,144.9336
ID837951228,14 Duncan Ct,4,h,675000.0,8/07/2017,2.0,4.0,744.0,49.0,-37.6815,144.87892
ID486424778,10 Intervale Dr,4,h,790000.0,27/11/2016,2.0,2.0,570.0,24.0,-37.7513,144.859
