ID,Address,Suburb,Price,Type,Date,Rooms,Bathroom,Car,LandSize,Age,Latitude,Longitude,train_station_id,distance_to_train_station,travel_min_to_CBD,over_priced?,crime_A_average,crime_B_average,crime_C_average,closest_primary_school,distance_to_closest_primary,primary_school_ranking,closest_secondary_school,distance_to_closest_secondary,secondary_school_ranking
ID253199063,8 Kinnane Cr,SUNSHINE,830500.0,h,8/07/2017,3,1.0,2.0,508.0,69.0,-37.7807,144.83648,20021,928.0872699557312,24.555555555555557,0,1412.0,6364.0,699.3333333333334,Sunshine Harvester Primary School,847.3404146000033,not ranked,Braybrook College,1010.1151439187549,139
ID764854482,9 Banks Pl,GLADSTONE PARK,742000.0,h,26/08/2017,3,2.0,2.0,375.0,44.0,-37.68415,144.8999,20030,1740.976471238528,40.0,0,663.0,4010.0,377.0,Gladstone Views Primary School,557.5377267440604,not ranked,Gladstone Park Secondary College,1072.819140135148,not ranked
ID765581220,112 Belmore Rd,BALWYN,3020000.0,h,28/05/2016,5,3.0,2.0,715.0,10.0,-37.8028,145.0768,19893,2445.085481941494,23.76923076923077,0,925.6666666666666,4701.333333333333,308.6666666666667,Balwyn North Primary School,679.4846486210637,142,Balwyn High School,549.9986574521752,44
ID364066284,12 Rasmussen Ct,COBURG,922000.0,h,1/07/2017,4,2.0,2.0,463.0,59.0,-37.73704,144.97959,19964,1525.626831895159,34.0,0,1097.6666666666667,5916.0,553.3333333333334,Newlands Primary School,924.1990543583348,not ranked,Coburg High School,723.3735336976106,79
ID879430645,29 Alfred St,PORT MELBOURNE,825000.0,h,14/05/2016,2,1.0,0.0,111.0,109.0,-37.835,144.9373,22180,2268.794420702244,0.0,0,659.0,5219.333333333333,338.3333333333333,Port Melbourne Primary School,308.73836932266744,325,Albert Park College,1403.8255970501061,131
ID911049979,4/31 Cooper St,ESSENDON,707000.0,u,22/04/2017,2,1.0,1.0,179.0,5.0,-37.7514,144.8966,20037,1799.6068915083054,24.0,1,330.3333333333333,1855.0,82.0,Our Lady of the Nativity School,550.6882311774837,373,Buckley Park College,487.48914852925407,123
ID873374349,35 Dixon St,MALVERN,2050000.0,h,4/06/2016,3,2.0,1.0,231.0,129.0,-37.8607,145.0373,19944,936.5796396684077,20.8,0,610.0,1743.6666666666667,228.0,De La Salle College,561.682491138164,not ranked,De La Salle College,561.682491138164,115
ID552311046,4 Erica St,WINDSOR,1350000.0,h,27/11/2016,2,1.0,2.0,181.0,49.0,-37.8549,145.0006,19957,763.6419562856795,15.5,0,1002.6666666666666,4068.0,328.3333333333333,Windsor Primary School,507.50621894936285,not ranked,Christian Brothers' College St Kilda,589.1475509648797,not ranked
ID882525140,2/102 Bent St,MOONEE PONDS,870000.0,t,23/04/2016,3,2.0,2.0,156.0,19.0,-37.7631,144.9357,20038,1484.1034646456037,22.0,0,278.0,489.0,65.0,Moonee Ponds Primary School,240.3381673134695,225,Lowther Hall Anglican Grammar School,1858.250181159018,not ranked
ID495604577,4 Robinson Gr,BULLEEN,1730000.0,h,13/05/2017,5,4.0,4.0,564.0,64.0,-37.7735,145.0936,19935,3425.3778970984686,29.823529411764707,0,941.3333333333334,5813.0,575.6666666666666,St Clement of Rome School,748.0539779857038,196,Marcellin College,971.8102317449668,169
